ID,Title,Price,URL
1,Iphone 11 Pro Max 256GB 100% Baterija - Kao Novo Garancija,700 KM,https://olx.ba/artikal/66018155
3,iPhone 11 Black 64 GB ODLIČNO STANJE 88%,470 KM,https://olx.ba/artikal/65848282
4,*NOVO*Apple iPhone 11 64GB Black,680 KM,https://olx.ba/artikal/66121076
5,*NOVO*Apple iPhone 11 64GB White,680 KM,https://olx.ba/artikal/66121143
6,iPhone 11 64GB Black,470 KM,https://olx.ba/artikal/66100931
10,Apple Iphone 11 Pro 64GB | 86% zdravlje | dobro stanje,480 KM,https://olx.ba/artikal/65558389
11,IPhone 11,300 KM,https://olx.ba/artikal/66132089
12,Apple iPhone 11 128GB Purple FULL / GARANCIJA,365 KM,https://olx.ba/artikal/65867527
13,IPhone 11 128gb 100% BATERIJA - ( KO NOV !! ) (12  13),"449,90 KM",https://olx.ba/artikal/65835279
14,Apple iPhone 11 128GB White NOVO GARANCIJA,755 KM,https://olx.ba/artikal/64855573
15,Apple iPhone 11 64GB White & Black NOVO,685 KM,https://olx.ba/artikal/60943577
17,APPLE IPHONE 11 128GB KUPI NA RATE 80KM/12Mj.,725 KM,https://olx.ba/artikal/49480710
18,Iphone 11 Pro 256 gb 84%bat TOP!!!!,499 KM,https://olx.ba/artikal/66083874
19,Iphone 11 pro 4/64gb,400 KM,https://olx.ba/artikal/65945352
20,Apple iPhone 11 Pro Max 64GB Silver GARANCIJA,499 KM,https://olx.ba/artikal/63586933
21,IPHONE 11 128GB *97% zdravlje baterije*,600 KM,https://olx.ba/artikal/65786180
22,Iphone 11 pro,550 KM,https://olx.ba/artikal/66117551
23,iPhone 11 128GB WHITE *KAO NOV*,550 KM,https://olx.ba/artikal/65944884
24,Apple iPhone 11 64GB Green,620 KM,https://olx.ba/artikal/64596529
25,Iphone 11 pro max,590 KM,https://olx.ba/artikal/66015638
27,iPhone 11 64gb,450 KM,https://olx.ba/artikal/65936166
28,iPhone 11 64gb bijeli/crveni,22 KM,https://olx.ba/artikal/65936054
29,iPhone 11 Pro 256gb,320 KM,https://olx.ba/artikal/65574325
30,Apple iPhone 11 Pro,400 KM,https://olx.ba/artikal/66001931
31,IPHONE 11 PRO MAX 256GB SPACE GRAY NOVO 96% BATERIJA,450 KM,https://olx.ba/artikal/64482160
32,iPhone 11 64 GB,490 KM,https://olx.ba/artikal/66028530
36,Iphone 11 Pro 86% BAT 10/10 PERFEKTNO STANJE!,250 KM,https://olx.ba/artikal/65954675
39,Iphone 11 128gb,70 KM,https://olx.ba/artikal/65927312
40,IPHONE 11 PRO 256GB ZDRAVLJE BATERIJE 100% SVE RADI,18 KM,https://olx.ba/artikal/66017071
